,Children_Poverty_Rate,E1,E2,E3,E4,E5,E6,HD1,HD2,L1,L2,O,P1,P2,P3,Q,Component 1,Component 2,Component 3,Segment K-means PCA,Segment,New Code
272,15.0,3.351955307,71.75449871,69.4,5.935432124,65.23432068,42.85714286,7.0,4.3,84.77358422,81.34282869,12.72727273,17.56097561,61.95121951,20.48780488,4.4,-0.4932184785981082,-0.39426954701650235,0.09470670061921986,1,second,E05000297
273,8.3,2.49490835,75.22178988,72.2,4.99718204,68.6253223,33.0,5.1,3.0,86.20582048,83.86550246,6.41509434,20.75471698,61.32075472,18.39622642,4.1,-0.8091049477989812,-0.34059773699254164,0.12415485180134335,1,second,E05000298
274,18.9,4.841815681,68.13950602,69.4,8.368747957,63.5600907,41.31274131,6.4,4.8,82.82305579,80.58642726,18.85245902,20.73170732,67.07317073,12.19512195,7.7,-0.12862417578703958,-0.12093735914711609,0.12755809580345714,1,second,E05000299
275,13.1,2.917121047,71.53064029,70.4,6.367303982,65.87683574,35.81081081,5.9,3.8,84.2865897,82.6880464,9.285714286,20.61403509,64.9122807,14.47368421,7.0,-0.5119203631847016,-0.2008856348008578,0.1749909787077165,1,second,E05000300
276,29.5,7.646276596,64.82930299,68.2,10.10166209,61.3006162,49.2,7.3,5.4,82.22550525,77.8047495,22.4,24.04580153,66.03053435,10.30534351,7.4,0.2619991335014085,-0.1884879850313175,0.033090284497740804,0,first,E05000301
277,18.8,4.695331047,68.55957474,70.9,9.072580645,64.42857143,42.64705882,6.0,4.2,83.19112973,82.40848493,14.0,22.59414226,66.52719665,11.29707113,7.4,-0.193322969488754,-0.12738369314641587,0.15686679808892656,1,second,E05000302
278,19.7,4.29490124,68.58452892,67.4,7.053787456,62.65211391,50.0,9.9,6.4,83.28865,82.20255543,17.70833333,17.46724891,60.26200873,22.70742358,4.9,-0.20961429099662898,-0.5908732811206124,0.044813456234583764,1,second,E05000303
279,28.9,6.800618238,65.12841091,68.9,10.88896823,61.44,46.86716792,7.0,5.2,78.98023065,76.9089722,24.46153846,23.17596567,65.66523605,10.72961373,7.8,0.2797374635399644,-0.15606220422905556,-0.03857683101609917,0,first,E05000304
280,21.1,4.262829215,71.50700766,71.7,7.351331631,66.39215686,43.04932735,6.5,4.4,83.11889681,82.14249799,15.09803922,20.28301887,66.50943396,13.67924528,6.7,-0.2758084542795011,-0.11508936081980381,0.07101525226122422,1,second,E05000305
281,25.8,6.19875369,72.72170004,73.9,8.841655138,67.40444527,49.12836767,7.8,5.0,78.26897853,75.3412267,21.57894737,21.69811321,65.09433962,13.20754717,4.3,0.04586817675516497,-0.11998816633366216,-0.3058930113107489,0,first,E05000306
